horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
1,Lasso,0.001,13,Lasso,0.19847705481087818,0.44550763720825054,0.3146265857505982,0.6639344262295082
1,Lasso,0.001,13,Linear,0.22602592538690097,0.47542183940885696,0.3508032340450244,0.6721311475409836
1,Lasso,0.001,13,Ridge,0.23639651445026832,0.4862062468235762,0.3580757014106393,0.6721311475409836
1,Lasso,0.001,13,RandomForest,0.6311629115069303,0.7944576209634661,0.4801507246817751,0.6065573770491803
1,Lasso,0.001,13,GradientBoosting,0.7417001356404255,0.8612201435407938,0.5488362725801881,0.5901639344262295
1,Lasso,0.001,13,XGBoost,0.8308683645767528,0.9115198103040618,0.5863488923180067,0.5327868852459017
1,Lasso,0.001,13,LightGBM,0.9663345701269114,0.9830231788350219,0.6392205748099661,0.6147540983606558
1,Lasso,0.001,13,MLP,1.965782604943094,1.402063695037816,0.6648896636755713,0.5983606557377049
1,Lasso,0.001,13,Ensemble_Avg,0.39592621063768985,0.6292266766735894,0.4229805431728878,0.6311475409836066
1,Lasso,0.001,13,Ensemble_Weighted,0.33694622798041335,0.5804706951952125,0.3939683345422037,0.6557377049180327
1,Lasso,0.001,13,Avg(Lasso+Linear),0.20524887429736016,0.45304400922797794,0.3268318259137042,0.6721311475409836
1,Lasso,0.001,13,Avg(top3),0.21381014371848245,0.46239608964445456,0.3359176861018266,0.6639344262295082
1,Lasso,0.002,13,Lasso,0.19847705481087818,0.44550763720825054,0.3146265857505982,0.6639344262295082
1,Lasso,0.002,13,Linear,0.22602592538690097,0.47542183940885696,0.3508032340450244,0.6721311475409836
1,Lasso,0.002,13,Ridge,0.23639651445026832,0.4862062468235762,0.3580757014106393,0.6721311475409836
1,Lasso,0.002,13,RandomForest,0.6311629115069302,0.794457620963466,0.480150724681775,0.6065573770491803
1,Lasso,0.002,13,GradientBoosting,0.7417001356404255,0.8612201435407938,0.5488362725801881,0.5901639344262295
1,Lasso,0.002,13,XGBoost,0.8308683645767528,0.9115198103040618,0.5863488923180067,0.5327868852459017
1,Lasso,0.002,13,LightGBM,0.9663345701269114,0.9830231788350219,0.6392205748099661,0.6147540983606558
1,Lasso,0.002,13,MLP,1.965782604943094,1.402063695037816,0.6648896636755713,0.5983606557377049
1,Lasso,0.002,13,Ensemble_Avg,0.39592621063768985,0.6292266766735894,0.4229805431728878,0.6311475409836066
1,Lasso,0.002,13,Ensemble_Weighted,0.33694622798041324,0.5804706951952124,0.39396833454220365,0.6557377049180327
1,Lasso,0.002,13,Avg(Lasso+Linear),0.20524887429736016,0.45304400922797794,0.3268318259137042,0.6721311475409836
1,Lasso,0.002,13,Avg(top3),0.21381014371848245,0.46239608964445456,0.3359176861018266,0.6639344262295082
1,Lasso,0.005,12,Lasso,0.19834051768600008,0.445354373152437,0.31449373631404554,0.6639344262295082
1,Lasso,0.005,12,Linear,0.22620269693477177,0.4756077132835124,0.35189414770033706,0.680327868852459
1,Lasso,0.005,12,Ridge,0.23635942848943484,0.48616810723188625,0.3590975192285837,0.680327868852459
1,Lasso,0.005,12,RandomForest,0.6271944693982229,0.7919561032015745,0.4769941124362395,0.6065573770491803
1,Lasso,0.005,12,GradientBoosting,0.7022752272039073,0.8380186317761124,0.5387188273710751,0.5655737704918032
1,Lasso,0.005,12,XGBoost,0.8003379295627605,0.8946160794233248,0.5717427614949674,0.5491803278688525
1,Lasso,0.005,12,MLP,0.9622370990104302,0.9809368476158036,0.5260177999069447,0.639344262295082
1,Lasso,0.005,12,LightGBM,1.0017372806816218,1.000868263400145,0.658332433302259,0.5655737704918032
1,Lasso,0.005,12,Ensemble_Avg,0.3742932187476378,0.6117950790482364,0.4136728997752498,0.5737704918032787
1,Lasso,0.005,12,Ensemble_Weighted,0.32220033485104677,0.5676269328097873,0.38858596808565515,0.6475409836065574
1,Lasso,0.005,12,Avg(Lasso+Linear),0.20566049885966345,0.45349806930092157,0.3271976435265238,0.6721311475409836
1,Lasso,0.005,12,Avg(top3),0.2141647334423723,0.46277935719127783,0.33605617302717095,0.6721311475409836
1,Lasso,0.01,11,Lasso,0.19826623858471681,0.4452709720885888,0.3143567262584074,0.6639344262295082
1,Lasso,0.01,11,Linear,0.2198112515459664,0.4688403262796049,0.34736772316034686,0.6721311475409836
1,Lasso,0.01,11,Ridge,0.23015257525545885,0.47974219665926704,0.3541884472933523,0.6721311475409836
1,Lasso,0.01,11,RandomForest,0.6295679007478677,0.7934531496867775,0.479593675185692,0.6147540983606558
1,Lasso,0.01,11,GradientBoosting,0.6929846817966403,0.8324570149843415,0.5403571895771017,0.5819672131147541
1,Lasso,0.01,11,XGBoost,0.8164172926484154,0.9035581290920996,0.5798903095113239,0.5573770491803278
1,Lasso,0.01,11,MLP,0.9813070575011325,0.9906094374177608,0.5069903202253881,0.6147540983606558
1,Lasso,0.01,11,LightGBM,1.0056456555931388,1.0028188548253063,0.6476569354240825,0.6229508196721312
1,Lasso,0.01,11,Ensemble_Avg,0.36846059654101343,0.6070095522650475,0.4075014963143829,0.6311475409836066
1,Lasso,0.01,11,Ensemble_Weighted,0.3169073124929189,0.5629452126920691,0.3833775449114345,0.6475409836065574
1,Lasso,0.01,11,Avg(Lasso+Linear),0.20262176318893257,0.4501352721004349,0.3254461168844369,0.6639344262295082
1,Lasso,0.01,11,Avg(top3),0.21011169451552397,0.45837942200269416,0.33312586272605454,0.6639344262295082
1,Lasso,0.02,10,Lasso,0.19630073742611748,0.44305839053799384,0.31227679549432974,0.6475409836065574
1,Lasso,0.02,10,Linear,0.22002223189855286,0.46906527466713294,0.3485186500979372,0.6557377049180327
1,Lasso,0.02,10,Ridge,0.22968566463223467,0.47925532300876394,0.35508574449754965,0.6557377049180327
1,Lasso,0.02,10,RandomForest,0.6510505695917681,0.8068770473819218,0.4860966379121734,0.6065573770491803
1,Lasso,0.02,10,XGBoost,0.8165881526426019,0.9036526725698331,0.5818777315640734,0.5655737704918032
1,Lasso,0.02,10,GradientBoosting,0.8289236060385308,0.9104524183275756,0.5685181720437211,0.6065573770491803
1,Lasso,0.02,10,LightGBM,1.1496478776067034,1.0722163389944697,0.6774514328117347,0.5901639344262295
1,Lasso,0.02,10,MLP,3.2335306959395984,1.7982020731663053,0.9866755612422156,0.6065573770491803
