horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
1,XGBoost,0.02,10,Linear,0.10678421926100135,0.3267785477368448,0.24147615388142898,0.6885245901639344
1,XGBoost,0.02,10,Avg(Linear+Ridge),0.10911199005304316,0.33032104088756314,0.24103125350223575,0.6721311475409836
1,XGBoost,0.02,10,Ridge,0.11369391483201896,0.33718528264445197,0.24229114777823715,0.680327868852459
1,XGBoost,0.02,10,Avg(top3),0.12701923992069888,0.3563975868614978,0.25467103593359564,0.6475409836065574
1,RandomForest,0.005,6,Linear,0.12978263432317622,0.3602535694801319,0.25183275939946037,0.680327868852459
1,RandomForest,0.01,6,Linear,0.12978263432317622,0.3602535694801319,0.25183275939946037,0.680327868852459
1,RandomForest,0.02,4,Linear,0.13342091694156008,0.3652682807766917,0.26175571391882474,0.639344262295082
1,RandomForest,0.005,6,Avg(Linear+Ridge),0.1342556504739293,0.36640912989980107,0.25591493527920345,0.6721311475409836
1,RandomForest,0.01,6,Avg(Linear+Ridge),0.1342556504739293,0.36640912989980107,0.25591493527920345,0.6721311475409836
1,RandomForest,0.02,4,Avg(Linear+Ridge),0.13497262915424338,0.3673862125260601,0.26369921232902876,0.6475409836065574
2,XGBoost,0.005,28,Avg(Lasso+MLP),0.39920542324198266,0.6318270516858095,0.45803248938728325,0.512396694214876
2,XGBoost,0.002,53,Avg(Lasso+MLP),0.3995382652865928,0.6320903932876949,0.46645089228190756,0.5537190082644629
2,XGBoost,0.005,28,Avg(top3),0.4078904086316853,0.6386629851742508,0.43087420463000575,0.5537190082644629
2,Lasso,0.005,13,Avg(Lasso+MLP),0.4844849627621458,0.69604954045107,0.4708506692702559,0.5289256198347108
2,XGBoost,0.002,53,Avg(top3),0.505397595866814,0.7109132126123512,0.501372482692096,0.5702479338842975
2,XGBoost,0.01,18,Avg(Lasso+MLP),0.5070422036025025,0.7120689598644941,0.5235487033369506,0.5206611570247934
2,RandomForest,0.005,17,Avg(MLP+Ridge),0.5210449041879277,0.7218344021920317,0.5456467039661917,0.5785123966942148
2,RandomForest,0.02,4,Avg(MLP+Linear),0.5324674726290718,0.7297036882386383,0.5358406754886671,0.5206611570247934
2,RandomForest,0.02,4,MLP,0.54084985399357,0.7354249478998995,0.5538025966249025,0.5206611570247934
2,XGBoost,0.02,8,Avg(MLP+Linear),0.5512560490839193,0.7424661938997084,0.5230554274818824,0.47107438016528924
3,RandomForest,0.01,11,Avg(MLP+XGBoost),0.6375504418236771,0.7984675584040201,0.5562423594313649,0.5333333333333333
3,XGBoost,0.02,11,Avg(MLP+Ridge),0.7351221045552487,0.8573926198395043,0.5910864570263538,0.49166666666666664
3,RandomForest,0.001,104,Avg(Lasso+MLP),0.7371180133353133,0.8585557718257524,0.6014440655381619,0.5333333333333333
3,RandomForest,0.01,11,Avg(top3),0.7500410777386676,0.8660491197031884,0.5799128918572388,0.55
3,RandomForest,0.001,104,Avg(top3),0.7790242709727946,0.8826235159867397,0.5855437982079474,0.6083333333333333
3,RandomForest,0.005,28,Avg(MLP+Lasso),0.8179163526154832,0.9043872802154413,0.6189718290960916,0.5166666666666667
3,XGBoost,0.01,17,Avg(MLP+Ridge),0.8185720791095257,0.9047497328596045,0.6690540002791786,0.5083333333333333
3,RandomForest,0.02,8,MLP,0.8268363190853913,0.9093054047378094,0.7109300341216073,0.5
3,RandomForest,0.01,11,MLP,0.8310553358251636,0.9116223647021631,0.6651847155949263,0.5416666666666666
3,XGBoost,0.02,11,Avg(top3),0.8391996151954745,0.9160783892197624,0.6387664752781465,0.49166666666666664
