date,CPI,CORE_CPI,PPI,UNRATE,PAYROLLS,SP500,VIX,OIL,GS10,GS3M,DXY,YIELD_SPREAD_10_3M,HY_SPREAD,NFCI,CPI_YOY_BLS,CORE_CPI_YOY_BLS,HAS_BLS_DATA
2000-01-31,168.8,178.8,128.3,4.0,131011.0,1394.4599609375,24.950000762939453,,6.666999816894531,5.53000020980835,105.12999725341795,1.1369996070861816,,-0.198,,,1
2000-02-29,169.8,179.5,129.8,4.1,131120.0,1366.4200439453125,23.3700008392334,,6.408999919891357,5.639999866485596,105.91999816894533,0.7690000534057617,,-0.204,,,1
2000-03-31,171.2,180.5,130.8,4.0,131604.0,1498.5799560546875,24.11000061035156,,6.0229997634887695,5.71999979019165,105.44000244140624,0.3029999732971191,,-0.132,,,1
2000-04-30,171.3,180.9,130.7,3.8,131884.0,1452.4300537109375,26.200000762939453,,6.214000225067139,5.650000095367432,110.13999938964844,0.564000129699707,,-0.053,,,1
2000-05-31,171.5,180.9,131.6,4.0,132105.0,1420.5999755859375,23.649999618530277,,6.284999847412109,5.489999771118164,108.73999786376952,0.7950000762939453,,0.004,,,1
2000-06-30,172.4,181.0,133.8,4.0,132063.0,1454.5999755859375,19.540000915527344,,6.01800012588501,5.699999809265137,106.83999633789062,0.318000316619873,,0.022,,,1
2000-07-31,172.8,181.3,133.7,4.0,132228.0,1430.8299560546875,20.739999771118164,,6.02899980545044,6.019999980926514,109.56999969482422,0.0089998245239257,,-0.071,,,1
2000-08-31,172.8,181.7,132.9,4.1,132234.0,1517.6800537109375,16.84000015258789,33.099998474121094,5.729000091552734,6.110000133514404,112.5999984741211,-0.3810000419616699,,-0.174,,,1
2000-09-30,173.7,182.3,134.7,3.9,132337.0,1436.510009765625,20.56999969482422,30.86000061035156,5.777999877929688,6.03000020980835,113.25,-0.2520003318786621,,-0.204,,,1
2000-10-31,174.0,182.8,135.4,3.9,132352.0,1429.4000244140625,23.6299991607666,32.689998626708984,5.756999969482422,6.150000095367432,116.6500015258789,-0.3930001258850097,,-0.179,,,1
2000-11-30,174.1,183.0,135.0,3.9,132556.0,1314.949951171875,29.649999618530277,33.79999923706055,5.439000129699707,6.010000228881836,115.23999786376952,-0.5710000991821289,,-0.135,,,1
2000-12-31,174.0,182.8,136.2,3.9,132716.0,1320.280029296875,26.850000381469727,26.799999237060547,5.110000133514404,5.730000019073486,109.55999755859376,-0.619999885559082,,-0.077,,,1
2001-01-31,175.1,183.5,140.0,4.2,132703.0,1366.010009765625,22.020000457763672,28.700000762939453,5.178999900817871,4.840000152587891,110.5199966430664,0.3389997482299804,,-0.174,3.732227488151652,2.6286353467561474,1
2001-02-28,175.8,184.4,137.4,4.2,132788.0,1239.93994140625,28.350000381469727,27.420000076293945,4.9079999923706055,4.71999979019165,112.01000213623048,0.188000202178955,,-0.271,3.5335689045936425,2.7298050139275887,1
2001-03-31,176.2,185.3,135.9,4.3,132751.0,1160.3299560546875,28.63999938964844,26.399999618530277,4.914999961853027,4.179999828338623,117.37000274658205,0.7350001335144043,,-0.26,2.9205607476635587,2.659279778393353,1
2001-04-30,176.9,185.6,136.4,4.4,132458.0,1249.4599609375,25.479999542236328,28.459999084472656,5.3379998207092285,3.829999923706055,115.8499984741211,1.5079998970031738,,-0.298,3.269118505545832,2.598120508568269,1
2001-05-31,177.7,185.5,136.8,4.3,132408.0,1255.8199462890625,22.63999938964844,28.3700008392334,5.413000106811523,3.539999961853028,119.06999969482422,1.873000144958496,,-0.395,3.6151603498542295,2.5428413488114865,1
2001-06-30,178.0,185.9,135.5,4.5,132300.0,1224.3800048828125,19.059999465942383,26.25,5.389999866485596,3.559999942779541,119.43000030517578,1.829999923706055,,-0.448,3.248259860788849,2.707182320442003,1
2001-07-31,177.5,186.2,133.4,4.6,132172.0,1211.22998046875,21.6200008392334,26.350000381469727,5.037000179290772,3.440000057220459,117.18000030517578,1.5970001220703125,,-0.485,2.719907407407396,2.7027027027026973,1
2001-08-31,177.5,186.6,133.4,4.9,132021.0,1133.5799560546875,24.920000076293945,27.200000762939453,4.815999984741211,3.2799999713897705,113.41999816894533,1.5360000133514404,,-0.477,2.719907407407396,2.696752889378096,1
2001-09-30,178.3,187.1,133.3,5.0,131763.0,1040.93994140625,31.93000030517578,23.43000030517578,4.574999809265137,2.299999952316284,113.4800033569336,2.2749998569488525,,-0.362,2.648244099021313,2.633022490400428,1
2001-10-31,177.7,187.6,130.3,5.3,131452.0,1059.780029296875,33.560001373291016,21.18000030517578,4.263000011444092,2.009999990463257,114.86000061035156,2.253000020980835,,-0.361,2.126436781609198,2.6258205689277725,1
2001-11-30,177.4,188.1,129.8,5.5,131144.0,1139.449951171875,23.84000015258789,19.440000534057617,4.74399995803833,1.7300000190734863,116.12999725341795,3.013999938964844,,-0.391,1.895462377943713,2.786885245901627,1
2001-12-31,176.7,187.8,128.1,5.7,130983.0,1148.0799560546875,23.799999237060547,19.84000015258789,5.0320000648498535,1.6699999570846558,116.75,3.3620001077651978,,-0.362,1.551724137931032,2.7352297592997843,1
2002-01-31,177.1,188.2,128.5,5.7,130859.0,1130.199951171875,21.09000015258789,19.479999542236328,5.025000095367432,1.7200000286102295,120.23999786376952,3.305000066757202,,-0.429,1.142204454597362,2.561307901907361,1
2002-02-28,177.8,189.2,128.4,5.7,130737.0,1106.72998046875,21.59000015258789,21.850000381469727,4.859000205993652,1.7200000286102295,119.16000366210938,3.139000177383423,,-0.488,1.1376564277588264,2.6030368763557465,1
2002-03-31,178.8,189.8,129.8,5.7,130722.0,1147.3900146484375,17.399999618530273,26.229999542236328,5.406000137329102,1.7400000095367432,118.62000274658205,3.6660001277923584,,-0.495,1.4755959137344066,2.4284943335132203,1
2002-04-30,179.8,190.3,130.8,5.9,130616.0,1076.9200439453125,21.90999984741211,27.290000915527344,5.091000080108643,1.7300000190734863,115.19000244140624,3.361000061035156,,-0.548,1.6393442622950838,2.532327586206895,1
2002-05-31,179.8,190.2,130.8,5.8,130632.0,1067.1400146484375,19.979999542236328,25.350000381469727,5.043000221252441,1.7050000429153442,111.80999755859376,3.338000178337097,,-0.621,1.1817670230725996,2.5336927223719607,1
2002-06-30,179.9,190.1,130.9,5.8,130674.0,989.8200073242188,25.399999618530277,26.86000061035156,4.823999881744385,1.659000039100647,106.11000061035156,3.164999842643738,,-0.577,1.0674157303370846,2.2592791823560887,1
2002-07-31,180.1,190.3,131.2,5.8,130584.0,911.6199951171876,32.029998779296875,27.020000457763672,4.465000152587891,1.6649999618530271,107.41000366210938,2.8000001907348637,,-0.475,1.4647887323943731,2.2019334049409256,1
2002-08-31,180.7,191.0,131.5,5.7,130581.0,916.0700073242188,32.63999938964844,28.979999542236328,4.13700008392334,1.6449999809265137,106.9800033569336,2.492000102996826,,-0.408,1.802816901408444,2.357984994640949,1
2002-09-30,181.0,191.3,132.3,5.7,130502.0,815.280029296875,39.68999862670898,30.46999931335449,3.607000112533569,1.5269999504089355,106.87000274658205,2.080000162124634,,-0.367,1.5143017386427315,2.2447888829502998,1
2002-10-31,181.3,191.8,133.2,5.7,130617.0,885.760009765625,31.13999938964844,27.21999931335449,3.91100001335144,1.4170000553131104,106.63999938964844,2.49399995803833,,-0.369,2.025886325267323,2.2388059701492717,1
2002-11-30,181.3,191.8,133.1,5.9,130616.0,936.3099975585938,27.5,26.88999938964844,4.2129998207092285,1.2020000219345093,106.41000366210938,3.0109997987747192,,-0.435,2.19842164599775,1.967038809144084,1
2002-12-31,180.9,191.4,132.9,6.0,130465.0,879.8200073242188,28.6200008392334,31.200000762939453,3.818000078201294,1.1820000410079956,101.8499984741211,2.6360000371932983,,-0.465,2.376910016977929,1.9169329073482453,1
2003-01-31,181.7,191.8,135.3,5.8,130573.0,855.7000122070312,31.170000076293945,33.5099983215332,3.974999904632568,1.1480000019073486,99.91000366210938,2.82699990272522,,-0.506,2.5974025974025983,1.9128586609989504,1
2003-02-28,183.1,192.5,137.6,5.9,130441.0,841.1500244140625,29.6299991607666,36.59999847412109,3.696000099182129,1.1749999523162842,99.70999908447266,2.5210001468658447,,-0.534,2.9808773903261976,1.744186046511631,1
2003-03-31,184.2,193.0,141.2,5.9,130235.0,848.1799926757812,29.149999618530277,31.040000915527344,3.822999954223633,1.090000033378601,99.05999755859376,2.732999920845032,,-0.565,3.0201342281878985,1.6859852476290849,1
2003-04-30,183.8,193.1,136.8,6.0,130173.0,916.9199829101562,21.209999084472656,25.799999237060547,3.857000112533569,1.10099995136261,97.19000244140624,2.7560001611709595,,-0.649,2.224694104560632,1.4713610089332585,1
2003-05-31,183.5,193.2,136.7,6.1,130197.0,963.5900268554688,19.46999931335449,29.559999465942383,3.3499999046325684,1.0850000381469729,93.2699966430664,2.264999866485596,,-0.71,2.057842046718572,1.577287066246047,1
2003-06-30,183.7,193.0,138.0,6.3,130186.0,974.5,19.520000457763672,30.190000534057617,3.5280001163482666,0.8379999995231628,94.7300033569336,2.690000116825104,,-0.712,2.1122846025569686,1.525512887953706,1
2003-07-31,183.9,193.2,137.7,6.2,130184.0,990.3099975585938,19.489999771118164,30.540000915527344,4.473999977111816,0.9269999861717224,96.88999938964844,3.546999990940094,,-0.716,2.1099389228206533,1.523909616395147,1
2003-08-31,184.6,193.5,138.0,6.1,130153.0,1008.010009765625,18.6299991607666,31.56999969482422,4.453999996185303,0.959999978542328,98.0999984741211,3.494000017642975,,-0.684,2.158273381294973,1.308900523560208,1
2003-09-30,185.2,193.6,138.5,6.1,130252.0,995.969970703125,22.71999931335449,29.200000762939453,3.937000036239624,0.9259999990463256,92.8499984741211,3.0110000371932983,,-0.674,2.3204419889502725,1.202300052273908,1
2003-10-31,185.0,194.3,139.3,6.0,130439.0,1050.7099609375,16.100000381469727,29.11000061035156,4.301000118255615,0.9319999814033508,92.7300033569336,3.3690001368522644,,-0.704,2.0408163265306145,1.3034410844629862,1
2003-11-30,184.5,193.9,138.9,5.8,130480.0,1058.199951171875,16.31999969482422,30.40999984741211,4.320000171661377,0.9079999923706056,90.20999908447266,3.4120001792907715,,-0.717,1.7650303364588948,1.094890510948909,1
2003-12-31,184.3,193.6,139.5,5.7,130589.0,1111.9200439453125,18.309999465942383,32.52000045776367,4.256999969482422,0.9070000052452089,86.91999816894531,3.349999964237213,,-0.718,1.8794914317302516,1.1494252873563091,1
2004-01-31,185.2,194.0,141.4,5.7,130756.0,1131.1300048828125,16.6299991607666,33.04999923706055,4.138000011444092,0.8970000147819519,87.19999694824219,3.24099999666214,,-0.761,1.9262520638414935,1.147028154327412,1
2004-02-29,186.2,194.9,142.1,5.6,130821.0,1144.93994140625,14.550000190734863,36.15999984741211,3.983999967575073,0.9269999861717224,87.30999755859375,3.056999981403351,,-0.807,1.6930638995084513,1.2467532467532516,1
2004-03-31,187.4,196.1,143.1,5.8,131140.0,1126.2099609375,16.739999771118164,35.7599983215332,3.836999893188477,0.9229999780654908,87.61000061035156,2.913999915122986,,-0.811,1.7372421281216075,1.6062176165803077,1
2004-04-30,188.0,196.5,144.8,5.6,131412.0,1107.300048828125,17.190000534057617,37.380001068115234,4.500999927520752,0.9520000219345092,90.4800033569336,3.5489999055862427,,-0.769,2.285092491838947,1.760745727602275,1
2004-05-31,189.1,196.5,146.8,5.6,131697.0,1120.6800537109375,15.5,39.880001068115234,4.65500020980835,1.0520000457763672,88.94999694824219,3.6030001640319824,,-0.709,3.051771117166213,1.7080745341614856,1
2004-06-30,189.7,196.6,147.2,5.6,131794.0,1140.8399658203125,14.34000015258789,37.04999923706055,4.617000102996826,1.3029999732971191,88.80000305175781,3.314000129699707,,-0.688,3.26619488296136,1.865284974093262,1
2004-07-31,189.4,196.6,147.4,5.5,131854.0,1101.719970703125,15.31999969482422,43.79999923706055,4.474999904632568,1.4119999408721924,89.95999908447266,3.062999963760376,,-0.692,2.990755845568249,1.7598343685300222,1
2004-08-31,189.5,196.8,148.0,5.4,131939.0,1104.239990234375,15.289999961853027,42.119998931884766,4.131999969482422,1.5679999589920044,88.94000244140625,2.564000010490417,,-0.7,2.654387865655483,1.705426356589146,1
2004-09-30,189.9,197.4,147.7,5.4,132089.0,1114.5799560546875,13.34000015258789,49.63999938964844,4.11899995803833,1.6740000247955322,87.36000061035156,2.444999933242798,,-0.701,2.5377969762419017,1.9628099173553792,1
2004-10-31,190.9,198.2,150.0,5.5,132429.0,1130.199951171875,16.270000457763672,51.7599983215332,4.02899980545044,1.8669999837875368,84.91000366210938,2.161999821662903,,-0.702,3.189189189189201,2.007205352547592,1
2004-11-30,191.0,198.1,151.4,5.4,132503.0,1173.8199462890625,13.239999771118164,49.130001068115234,4.357999801635742,2.181999921798706,81.81999969482422,2.175999879837036,,-0.714,3.523035230352312,2.166064981949445,1
2004-12-31,190.3,197.8,150.2,5.4,132630.0,1211.9200439453125,13.289999961853027,43.45000076293945,4.216000080108643,2.181999921798706,80.8499984741211,2.0340001583099365,,-0.707,3.255561584373301,2.169421487603307,1
2005-01-31,190.7,198.4,150.9,5.3,132781.0,1181.27001953125,12.81999969482422,48.20000076293945,4.132999897003174,2.421999931335449,83.5999984741211,1.7109999656677246,,-0.699,2.969762419006483,2.268041237113394,1
2005-02-28,191.8,199.5,151.6,5.4,133034.0,1203.5999755859375,12.079999923706056,51.75,4.359000205993652,2.690000057220459,82.51000213623047,1.6690001487731934,,-0.711,3.0075187969925032,2.360184710107749,1
2005-03-31,193.3,200.7,153.7,5.2,133154.0,1180.5899658203125,14.020000457763672,55.400001525878906,4.495999813079834,2.7219998836517334,84.05999755859375,1.7739999294281006,,-0.686,3.1483457844183604,2.3457419683834857,1
2005-04-30,194.6,200.9,155.0,5.2,133520.0,1156.8499755859375,15.3100004196167,49.720001220703125,4.201000213623047,2.836999893188477,84.43000030517578,1.3640003204345703,,-0.629,3.5106382978723483,2.23918575063613,1
2005-05-31,194.4,200.8,154.3,5.1,133689.0,1191.5,13.289999961853027,51.970001220703125,4.00600004196167,2.881999969482422,87.76000213623047,1.124000072479248,,-0.601,2.8027498677948293,2.188295165394405,1
2005-06-30,194.5,200.6,154.3,5.0,133948.0,1191.3299560546875,12.039999961853027,56.5,3.944999933242798,3.059999942779541,89.11000061035156,0.8849999904632568,,-0.603,2.530311017395892,2.0345879959308144,1
2005-07-31,195.4,200.8,156.3,5.0,134300.0,1234.1800537109375,11.56999969482422,60.56999969482422,4.285999774932861,3.3320000171661377,89.3499984741211,0.9539997577667236,,-0.61,3.167898627243937,2.136317395727372,1
2005-08-31,196.4,201.0,157.6,4.9,134502.0,1220.3299560546875,12.600000381469728,68.94000244140625,4.019999980926514,3.430000066757202,87.58000183105469,0.5899999141693115,,-0.607,3.641160949868083,2.134146341463405,1
2005-09-30,198.8,201.3,162.2,5.0,134552.0,1228.81005859375,11.920000076293944,66.23999786376953,4.328000068664551,3.470000028610229,89.5199966430664,0.8580000400543213,,-0.577,4.686677198525535,1.9756838905775176,1
2005-10-31,199.2,202.3,166.2,5.0,134641.0,1207.010009765625,15.31999969482422,59.7599983215332,4.559000015258789,3.805000066757202,90.06999969482422,0.7539999485015869,,-0.576,4.347826086956519,2.068617558022212,1
2005-11-30,197.6,202.3,163.7,5.0,134997.0,1249.47998046875,12.0600004196167,57.31999969482422,4.5,3.857000112533569,91.56999969482422,0.6429998874664307,,-0.587,3.4554973821989465,2.120141342756199,1
2005-12-31,196.8,202.1,163.0,4.9,135159.0,1248.2900390625,12.06999969482422,61.040000915527344,4.394999980926514,3.984999895095825,91.16999816894533,0.4100000858306885,,-0.567,3.415659485023648,2.1739130434782483,1
2006-01-31,198.3,202.6,164.3,4.7,135427.0,1280.0799560546875,12.949999809265137,67.91999816894531,4.526999950408936,4.369999885559082,88.95999908447266,0.1570000648498535,,-0.587,3.985317252228637,2.116935483870952,1
2006-02-28,198.7,203.6,161.8,4.8,135733.0,1280.6600341796875,12.34000015258789,61.40999984741211,4.546999931335449,4.506999969482422,90.11000061035156,0.0399999618530273,,-0.625,3.59749739311781,2.055137844611532,1
2006-03-31,199.8,204.9,162.2,4.7,136038.0,1294.8699951171875,11.390000343322754,66.62999725341797,4.853000164031982,4.514999866485596,89.7300033569336,0.3380002975463867,,-0.632,3.3626487325400856,2.0926756352765308,1
2006-04-30,201.5,205.5,164.3,4.7,136210.0,1310.6099853515625,11.59000015258789,71.87999725341797,5.068999767303467,4.650000095367432,86.11000061035156,0.4189996719360351,,-0.623,3.5457348406988665,2.2896963663514125,1
2006-05-31,202.5,205.7,165.8,4.6,136249.0,1270.0899658203125,16.440000534057617,71.29000091552734,5.11299991607666,4.715000152587891,84.72000122070312,0.3979997634887695,,-0.6,4.166666666666674,2.440239043824688,1
2006-06-30,202.9,205.9,166.1,4.6,136337.0,1270.199951171875,13.079999923706056,73.9800033569336,5.138000011444092,4.860000133514404,85.22000122070312,0.2779998779296875,,-0.546,4.318766066838053,2.6420737786640114,1
2006-07-31,203.5,206.2,166.8,4.7,136529.0,1276.6600341796875,14.949999809265137,74.4000015258789,4.98799991607666,4.934999942779541,85.30000305175781,0.0529999732971191,,-0.543,4.145342886386905,2.689243027888444,1
2006-08-31,203.9,206.7,167.9,4.7,136692.0,1303.8199462890625,12.3100004196167,70.26000213623047,4.73199987411499,4.90500020980835,85.05000305175781,-0.1730003356933593,,-0.591,3.818737270875761,2.8358208955223896,1
2006-09-30,202.9,207.2,165.4,4.5,136826.0,1335.8499755859375,11.979999542236328,62.90999984741211,4.632999897003174,4.760000228881836,85.97000122070312,-0.1270003318786621,,-0.606,2.062374245472842,2.930948832588176,1
