horizon,subset,cutoff,m1m2,n_features,model,kind,RMSE,MAE,DirAcc,N,train_RMSE,gap_pct
1,all,0.01,none,131,base_AR1,baseline,0.4077639644689346,0.2944354885826149,0.5737704918032787,123,,
1,all,0.01,none,131,Lasso,base,0.43390762021665324,0.2986867864271926,0.6721311475409836,123,0.35830881527942937,0.2109878454379295
1,all,0.01,none,131,Lasso_a0.05,base,0.43390762021665324,0.2986867864271926,0.6721311475409836,123,,
1,all,0.01,none,131,Lasso_a0.01,base,0.4760120004890768,0.3496426649780404,0.6639344262295082,123,,
1,all,0.01,none,131,ENet_a0.1_l0.5,base,0.49845425774239943,0.3398536571126898,0.6557377049180327,123,,
1,all,0.01,none,131,ENet_a0.05_l0.5,base,0.4985582535065109,0.3612323315385571,0.6639344262295082,123,,
1,all,0.01,none,131,Lasso_a0.2,base,0.6099869791863489,0.38292783732425506,0.6311475409836066,123,,
1,all,0.01,none,131,Ridge_a10.0,base,0.6754614968643687,0.5049546324483168,0.6229508196721312,123,,
1,all,0.01,none,131,Ridge_a1.0,base,0.886995915896423,0.6218378434014397,0.6147540983606558,123,,
1,all,0.01,none,131,Ridge,base,0.886995915896423,0.6218378434014397,0.6147540983606558,123,0.2005380023962086,3.4230814374223204
1,all,0.01,none,131,LightGBM,base,0.9500469758003495,0.5828086155613967,0.639344262295082,123,,
1,all,0.01,none,131,RandomForest,base,0.9696329292414354,0.5801706650994373,0.5819672131147541,123,,
1,all,0.01,none,131,XGBoost,base,1.007269345998829,0.6094221963370862,0.5983606557377049,123,0.002399291292568402,418.8195313419254
1,all,0.01,none,131,GradientBoosting,base,1.0821472454137937,0.6362284371745233,0.5573770491803278,123,,
1,all,0.01,none,131,Ridge_a0.1,base,1.1884070268582967,0.8103608611539931,0.639344262295082,123,,
1,all,0.01,none,131,MLP,base,1.343686151322551,0.7717984812618187,0.5983606557377049,123,0.30542272872772747,3.399430772293294
