model,RMSE,MAE,DirAcc,N
Linear,0.3321169163135458,0.2397682724856571,0.680327868852459,123
Ridge,0.34359950869047073,0.24759237229319317,0.6721311475409836,123
Lasso,0.4721825137545456,0.32944414466543975,0.6311475409836066,123
Ensemble_Weighted,0.5271358060432226,0.34775571936047583,0.6065573770491803,123
Ensemble_Avg,0.702826885483819,0.42909307858626733,0.5819672131147541,123
Ensemble_Stack,0.8908354984635194,0.6301919702422955,0.5573770491803278,62
RandomForest,0.9398599507499312,0.5518735396145592,0.5983606557377049,123
XGBoost,0.9663754055448837,0.5975677403504226,0.5573770491803278,123
GradientBoosting,0.9763668821199134,0.5687445646002866,0.5983606557377049,123
LightGBM,1.0961724774855113,0.6824542689696383,0.5819672131147541,123
MLP,1.2663504615769243,0.6928447800541682,0.5737704918032787,123
